item_name,category,base_unit,par_little_shop,par_keele,supplier
Oat Milk,Milk,each,20,45,Bookers
Strawberry Jam,FoH,each,5,15,Aldi
Salmon,FoH,g,1500,2500,Butches
Eggs,BoH,each,16,48,Bookers
